Gene_id	Coverage	FPKM	TPM
NGJCOJPH_00001	135.661606	66.282158	71.856850
NGJCOJPH_00002	104.173447	50.897530	55.178295
NGJCOJPH_00003	4370.141113	2135.183105	2314.763916
NGJCOJPH_00004	44.805000	21.891027	23.732185
NGJCOJPH_00005	62.784832	30.675694	33.255692
NGJCOJPH_00006	72.667656	35.504288	38.490398
NGJCOJPH_00007	187.406021	91.563675	99.264687
NGJCOJPH_00008	126.812752	61.958740	67.169815
NGJCOJPH_00009	324.391693	158.492752	171.822861
NGJCOJPH_00010	204.892624	100.107353	108.526939
NGJCOJPH_00011	450.831085	220.269073	238.794922
NGJCOJPH_00012	192.935287	94.265182	102.193405
NGJCOJPH_00013	219.837845	107.409355	116.443077
NGJCOJPH_00014	278.131592	135.890793	147.319946
NGJCOJPH_00015	7688.345703	3756.406494	4072.341064
NGJCOJPH_00016	714.171082	348.932922	378.280090
NGJCOJPH_00017	690.268799	337.254608	365.619598
NGJCOJPH_00018	1357.679810	663.341309	719.132019
NGJCOJPH_00019	2306.992676	1127.160889	1221.961304
NGJCOJPH_00020	4272.864746	2087.655273	2263.238770
NGJCOJPH_00021	3455.717529	1688.409912	1830.414673
NGJCOJPH_00022	5544.828125	2709.116943	2936.968506
NGJCOJPH_00023	5608.762207	2740.354248	2970.833252
NGJCOJPH_00024	4417.384766	2158.265625	2339.787842
NGJCOJPH_00025	212.834015	103.987396	112.733315
NGJCOJPH_00026	6238.227539	3047.901123	3304.246582
NGJCOJPH_00027	9635.171875	4707.595703	5103.530762
NGJCOJPH_00028	8001.547852	3909.432129	4238.236816
NGJCOJPH_00029	10736.879883	5245.873047	5687.079590
NGJCOJPH_00030	11111.793945	5429.049805	5885.663086
NGJCOJPH_00031	187.294327	91.509094	99.205521
NGJCOJPH_00032	82.174522	40.149197	43.525967
NGJCOJPH_00033	130.715729	63.865677	69.237137
NGJCOJPH_00034	158.367950	77.376129	83.883888
NGJCOJPH_00035	765.709290	374.113678	405.578735
NGJCOJPH_00036	127.336143	62.214466	67.447044
NGJCOJPH_00037	177.814148	86.877228	94.184090
NGJCOJPH_00038	207.696503	101.477287	110.012085
NGJCOJPH_00039	180.650162	88.262863	95.686264
NGJCOJPH_00040	162.098953	79.199036	85.860115
NGJCOJPH_00041	264.218628	129.093124	139.950562
NGJCOJPH_00042	88.268867	43.126797	46.754002
NGJCOJPH_00043	113.075500	55.246937	59.893509
NGJCOJPH_00044	37.740574	18.439459	19.990318
NGJCOJPH_00045	111.481453	54.468109	59.049179
NGJCOJPH_00046	1002.443848	489.778503	530.971619
NGJCOJPH_00047	329.802368	161.136322	174.688782
NGJCOJPH_00048	89.013512	43.490620	47.148422
NGJCOJPH_00049	264.855591	129.404327	140.287949
NGJCOJPH_00050	85.199158	41.626987	45.128048
NGJCOJPH_00051	361.489502	176.618164	191.472733
NGJCOJPH_00052	159.021317	77.695351	84.229958
NGJCOJPH_00053	720.017578	351.789398	381.376862
NGJCOJPH_00054	109.608574	53.553047	58.057159
NGJCOJPH_00055	711.826233	347.787231	377.038086
NGJCOJPH_00056	103.871765	50.750134	55.018501
NGJCOJPH_00057	117.853767	57.581520	62.424446
NGJCOJPH_00058	150.823013	73.689781	79.887497
NGJCOJPH_00059	105.147629	51.373501	55.694298
NGJCOJPH_00060	330.307129	161.382950	174.956146
NGJCOJPH_00061	76.023735	37.144016	40.268036
NGJCOJPH_00062	232.601639	113.645546	123.203766
NGJCOJPH_00063	126.809952	61.957371	67.168335
NGJCOJPH_00064	82.834381	40.471596	43.875481
NGJCOJPH_00065	176.437912	86.204826	93.455124
NGJCOJPH_00066	85.602448	41.824028	45.341660
NGJCOJPH_00067	206.348618	100.818733	109.298149
NGJCOJPH_00068	122.253693	59.731255	64.754990
NGJCOJPH_00069	202.563370	98.969322	107.293190
NGJCOJPH_00070	63.039982	30.800358	33.390839
NGJCOJPH_00071	168.347809	82.252129	89.169983
NGJCOJPH_00072	130.692856	63.854504	69.225021
NGJCOJPH_00073	214.190353	104.650085	113.451736
NGJCOJPH_00074	360.526703	176.147751	190.962753
NGJCOJPH_00075	165.645493	80.931824	87.738632
NGJCOJPH_00076	260.893616	127.468575	138.189392
NGJCOJPH_00077	1562.693970	763.508057	827.723328
NGJCOJPH_00078	1684.916382	823.223999	892.461670
NGJCOJPH_00079	298.089996	145.642151	157.891449
NGJCOJPH_00080	519.561096	253.849487	275.199646
NGJCOJPH_00081	2395.864502	1170.582275	1269.034668
NGJCOJPH_00082	146.813736	71.730911	77.763878
NGJCOJPH_00083	522.792847	255.428482	276.911407
NGJCOJPH_00084	271.882721	132.837677	144.010071
NGJCOJPH_00085	404.650482	197.705948	214.334122
NGJCOJPH_00086	139.210770	68.016220	73.736763
NGJCOJPH_00087	110.932495	54.199894	58.758408
NGJCOJPH_00088	105.921875	51.751781	56.104393
NGJCOJPH_00089	162.639191	79.462982	86.146255
NGJCOJPH_00090	152.879440	74.694527	80.976746
NGJCOJPH_00091	188.166870	91.935410	99.667686
NGJCOJPH_00092	175.043198	85.523392	92.716385
NGJCOJPH_00093	253.372620	123.793930	134.205688
NGJCOJPH_00094	194.842270	95.196907	103.203499
NGJCOJPH_00095	172.476547	84.269363	91.356880
NGJCOJPH_00096	134.009125	65.474777	70.981575
NGJCOJPH_00097	100.177666	48.945251	53.061821
NGJCOJPH_00098	89.265602	43.613789	47.281948
NGJCOJPH_00099	30.558399	14.930359	16.186087
NGJCOJPH_00100	319.850952	156.274200	169.417740
NGJCOJPH_00101	111.679039	54.564644	59.153835
NGJCOJPH_00102	148.777496	72.690376	78.804047
NGJCOJPH_00103	198.878235	97.168816	105.341255
NGJCOJPH_00104	106.925987	52.242378	56.636250
NGJCOJPH_00105	73.812386	36.063587	39.096733
NGJCOJPH_00106	72.867279	35.601822	38.596134
NGJCOJPH_00107	149.084961	72.840599	78.966896
NGJCOJPH_00108	108.989700	53.250675	57.729355
NGJCOJPH_00109	67.303062	32.883232	35.648895
NGJCOJPH_00110	121.818886	59.518814	64.524681
NGJCOJPH_00111	68.966942	33.696178	36.530212
NGJCOJPH_00112	164.109665	80.181435	86.925140
NGJCOJPH_00113	384.124939	187.677490	203.462189
NGJCOJPH_00114	87.747276	42.871956	46.477730
NGJCOJPH_00115	142.865601	69.801910	75.672646
NGJCOJPH_00116	316.589874	154.680893	167.690430
NGJCOJPH_00117	512.243713	250.274338	271.323792
NGJCOJPH_00118	331.401886	161.917816	175.536011
NGJCOJPH_00119	132.880219	64.923210	70.383614
NGJCOJPH_00120	100.011696	48.864162	52.973911
NGJCOJPH_00121	236.156082	115.382195	125.086479
NGJCOJPH_00122	134.362961	65.647659	71.168991
NGJCOJPH_00123	243.618347	119.028145	129.039078
NGJCOJPH_00124	27.980078	13.670631	14.820408
NGJCOJPH_00125	74.408943	36.355057	39.412716
NGJCOJPH_00126	63.474396	31.012606	33.620937
NGJCOJPH_00127	47.398350	23.158098	25.105822
NGJCOJPH_00128	144.934631	70.812813	76.768555
NGJCOJPH_00129	91.268852	44.592545	48.343029
NGJCOJPH_00130	204.666367	99.996811	108.407097
NGJCOJPH_00131	235.969101	115.290840	124.987442
NGJCOJPH_00132	254.266571	124.230698	134.679199
NGJCOJPH_00133	84.975830	41.517872	45.009758
NGJCOJPH_00134	70.081200	34.240585	37.120411
NGJCOJPH_00135	221.975464	108.453766	117.575325
NGJCOJPH_00136	215.797760	105.435440	114.303139
NGJCOJPH_00137	60.292725	29.458088	31.935678
NGJCOJPH_00138	299.356750	146.261063	158.562424
NGJCOJPH_00139	204.257385	99.796982	108.190475
NGJCOJPH_00140	259.968475	127.016563	137.699356
NGJCOJPH_00141	152.978027	74.742691	81.028969
NGJCOJPH_00142	137.451614	67.156731	72.804977
NGJCOJPH_00143	239.042389	116.792404	126.615288
NGJCOJPH_00144	170.048462	83.083038	90.070786
NGJCOJPH_00145	46.789463	22.860605	24.783310
NGJCOJPH_00146	80.825752	39.490208	42.811554
NGJCOJPH_00147	90.352394	44.144779	47.857597
NGJCOJPH_00148	651.893860	318.505219	345.293304
NGJCOJPH_00149	208.412979	101.827347	110.391594
NGJCOJPH_00150	174.784836	85.397163	92.579529
NGJCOJPH_00151	72.233437	35.292137	38.260403
NGJCOJPH_00152	169.908447	83.014633	89.996620
NGJCOJPH_00153	115.256317	56.312450	61.048637
NGJCOJPH_00154	97.162575	47.472126	51.464794
NGJCOJPH_00155	98.094635	47.927517	51.958485
NGJCOJPH_00156	151.268723	73.907547	80.123581
NGJCOJPH_00157	128.387650	62.728214	68.004005
NGJCOJPH_00158	598.450806	292.393799	316.985718
NGJCOJPH_00159	346.539825	169.313980	183.554230
NGJCOJPH_00160	142.253571	69.502884	75.348465
NGJCOJPH_00161	179.333038	87.619339	94.988609
NGJCOJPH_00162	120.896080	59.067947	64.035889
NGJCOJPH_00163	45.082745	22.026728	23.879299
NGJCOJPH_00164	692.806519	338.494537	366.963776
NGJCOJPH_00165	62.121952	30.351822	32.904579
NGJCOJPH_00166	111.429482	54.442719	59.021648
NGJCOJPH_00167	10531.149414	5145.356445	5578.109375
NGJCOJPH_00168	1026.611084	501.586243	543.772400
NGJCOJPH_00169	231.016388	112.871017	122.364098
NGJCOJPH_00170	87.182144	42.595844	46.178391
NGJCOJPH_00171	219.709976	107.346886	116.375359
NGJCOJPH_00172	891.357788	435.503571	472.131836
NGJCOJPH_00173	3156.828369	1542.377441	1672.099854
NGJCOJPH_00174	2760.847900	1348.907471	1462.358032
NGJCOJPH_00175	3201.278809	1564.095215	1695.644165
NGJCOJPH_00176	988.251221	482.844208	523.454102
NGJCOJPH_00177	1517.647583	741.499023	803.863281
NGJCOJPH_00178	540.442993	264.052063	286.260315
NGJCOJPH_00179	201.178574	98.292732	106.559692
NGJCOJPH_00180	256.378784	125.262695	135.797989
NGJCOJPH_00181	229.318359	112.041389	121.464691
NGJCOJPH_00182	189.139618	92.410683	100.182930
NGJCOJPH_00183	172.840576	84.447227	91.549706
NGJCOJPH_00184	43.358650	21.184364	22.966087
NGJCOJPH_00185	151.138824	73.844086	80.054787
NGJCOJPH_00186	350.101959	171.054382	185.441010
NGJCOJPH_00187	278.190430	135.919525	147.351120
NGJCOJPH_00188	106.229912	51.902287	56.267555
NGJCOJPH_00189	86.033890	42.034824	45.570183
NGJCOJPH_00190	195.987564	95.756485	103.810135
NGJCOJPH_00191	296.357605	144.795715	156.973846
NGJCOJPH_00192	123.652046	60.414471	65.495667
NGJCOJPH_00193	126.322578	61.719254	66.910179
NGJCOJPH_00194	72.873314	35.604771	38.599327
NGJCOJPH_00195	115.978668	56.665375	61.431252
NGJCOJPH_00196	141.566513	69.167198	74.984543
NGJCOJPH_00197	84.372391	41.223042	44.690128
NGJCOJPH_00198	217.283524	106.161362	115.090118
NGJCOJPH_00199	729.466187	356.405853	386.381561
NGJCOJPH_00200	437.096100	213.558365	231.519806
NGJCOJPH_00201	87.321098	42.663734	46.251987
NGJCOJPH_00202	252.332748	123.285866	133.654892
NGJCOJPH_00203	740.780579	361.933899	392.374573
NGJCOJPH_00204	187.315628	91.519508	99.216812
NGJCOJPH_00205	86.261536	42.146049	45.690765
NGJCOJPH_00206	70.357452	34.375557	37.266735
NGJCOJPH_00207	119.837158	58.550575	63.475006
NGJCOJPH_00208	77.654785	37.940922	41.131966
NGJCOJPH_00209	128.838623	62.948551	68.242874
NGJCOJPH_00210	109.954773	53.722195	58.240532
NGJCOJPH_00211	254.348862	124.270912	134.722778
NGJCOJPH_00212	279.312469	136.467743	147.945435
NGJCOJPH_00213	396.009705	193.484192	209.757278
NGJCOJPH_00214	114.238419	55.815117	60.509480
NGJCOJPH_00215	58.422222	28.544191	30.944918
NGJCOJPH_00216	65.857330	32.176868	34.883125
NGJCOJPH_00217	85.471695	41.760147	45.272404
NGJCOJPH_00218	104.347870	50.982750	55.270683
NGJCOJPH_00219	88.954979	43.462021	47.117416
NGJCOJPH_00220	73.107094	35.718994	38.723160
NGJCOJPH_00221	334.464355	163.414093	177.158127
NGJCOJPH_00222	227.937683	111.366814	120.733383
NGJCOJPH_00223	539.235046	263.461884	285.620483
NGJCOJPH_00224	311.639099	152.262039	165.068115
NGJCOJPH_00225	215.389221	105.235832	114.086746
NGJCOJPH_00226	68.714806	33.572987	36.396664
NGJCOJPH_00227	30.920782	15.107414	16.378031
NGJCOJPH_00228	140.078156	68.440010	74.196198
NGJCOJPH_00229	286.249451	139.857040	151.619781
NGJCOJPH_00230	1184.716187	578.833923	627.517090
NGJCOJPH_00231	915.085449	447.096558	484.699860
NGJCOJPH_00232	944.749207	461.589813	500.412048
NGJCOJPH_00233	57.233734	27.963514	30.315401
NGJCOJPH_00234	111.742249	54.595528	59.187317
NGJCOJPH_00235	243.607315	119.022758	129.033218
NGJCOJPH_00236	126.713348	61.910175	67.117165
NGJCOJPH_00237	166.292664	81.248016	88.081421
NGJCOJPH_00238	94.240967	46.044674	49.917286
NGJCOJPH_00239	1634.421143	798.552795	865.715515
NGJCOJPH_00240	1512.519775	738.993652	801.147156
NGJCOJPH_00241	560.019470	273.616821	296.629517
NGJCOJPH_00242	140.283218	68.540199	74.304817
NGJCOJPH_00243	64.089874	31.313318	33.946941
NGJCOJPH_00244	133.105133	65.033104	70.502747
NGJCOJPH_00245	64.738518	31.630234	34.290512
NGJCOJPH_00246	72.029732	35.192608	38.152500
NGJCOJPH_00247	33.792946	16.510710	17.899349
NGJCOJPH_00248	340.943390	166.579651	180.589920
NGJCOJPH_00249	276.486328	135.086929	146.448486
NGJCOJPH_00250	1086.010376	530.607788	575.234863
NGJCOJPH_00251	112.790871	55.107868	59.742748
NGJCOJPH_00252	266.436005	130.176498	141.125061
NGJCOJPH_00253	62.961735	30.762125	33.349392
NGJCOJPH_00254	87.617302	42.808453	46.408882
NGJCOJPH_00255	244.551849	119.484238	129.533524
NGJCOJPH_00256	202.130661	98.757896	107.063988
NGJCOJPH_00257	191.450317	93.539650	101.406860
NGJCOJPH_00258	113.869095	55.634674	60.313858
NGJCOJPH_00259	226.121399	110.479408	119.771332
NGJCOJPH_00260	377.443207	184.412903	199.923035
NGJCOJPH_00261	308.792175	150.871063	163.560150
NGJCOJPH_00262	2650.285400	1294.888306	1403.795532
NGJCOJPH_00263	2416.072266	1180.455322	1279.738281
NGJCOJPH_00264	815.328064	398.356628	431.860657
NGJCOJPH_00265	420.272430	205.338593	222.608688
NGJCOJPH_00266	256.514374	125.328941	135.869797
NGJCOJPH_00267	143.724503	70.221558	76.127579
NGJCOJPH_00268	232.316528	113.506256	123.052757
NGJCOJPH_00269	94.805855	46.320667	50.216496
NGJCOJPH_00270	358.649536	175.230591	189.968460
NGJCOJPH_00271	156.291656	76.361679	82.784126
NGJCOJPH_00272	70.924026	34.652378	37.566833
NGJCOJPH_00273	68.762680	33.596378	36.422020
NGJCOJPH_00274	259.210297	126.646126	137.297775
NGJCOJPH_00275	358.578217	175.195755	189.930679
NGJCOJPH_00276	206.735321	101.007675	109.502975
NGJCOJPH_00277	28.515038	13.932005	15.103764
NGJCOJPH_00278	273.237793	133.499741	144.727814
NGJCOJPH_00279	188.551712	92.123436	99.871536
NGJCOJPH_00280	168.716934	82.432472	89.365501
NGJCOJPH_00281	94.957260	46.394642	50.296692
NGJCOJPH_00282	82.755920	40.433258	43.833920
NGJCOJPH_00283	46.033897	22.491447	24.383102
NGJCOJPH_00284	74.242729	36.273846	39.324677
NGJCOJPH_00285	161.927841	79.115433	85.769478
NGJCOJPH_00286	133.467865	65.210327	70.694878
NGJCOJPH_00287	81.022774	39.586468	42.915913
NGJCOJPH_00288	73.044052	35.688190	38.689766
NGJCOJPH_00289	72.739273	35.539280	38.528332
NGJCOJPH_00290	266.268890	130.094849	141.036545
NGJCOJPH_00291	150.429184	73.497368	79.678902
NGJCOJPH_00292	294.765198	144.017700	156.130386
NGJCOJPH_00293	2475.837646	1209.655884	1311.394653
NGJCOJPH_00294	191.747314	93.684761	101.564171
NGJCOJPH_00295	142.842117	69.790443	75.660202
NGJCOJPH_00296	727.578674	355.483673	385.381805
NGJCOJPH_00297	179.544022	87.722420	95.100365
NGJCOJPH_00298	103.307457	50.474422	54.719597
NGJCOJPH_00299	218.716858	106.861664	115.849327
NGJCOJPH_00300	210.333740	102.765800	111.408974
NGJCOJPH_00301	439.787323	214.873260	232.945297
NGJCOJPH_00302	2228.354004	1088.739136	1180.308228
NGJCOJPH_00303	542.447876	265.031616	287.322235
NGJCOJPH_00304	453.620514	221.631943	240.272415
NGJCOJPH_00305	848.876770	414.748016	449.630646
NGJCOJPH_00306	151.674408	74.105759	80.338463
NGJCOJPH_00307	78.701645	38.452400	41.686466
NGJCOJPH_00308	67.528389	32.993324	35.768246
NGJCOJPH_00309	65.479111	31.992077	34.682789
NGJCOJPH_00310	42.545212	20.786930	22.535227
NGJCOJPH_00311	193.350647	94.468124	102.413414
NGJCOJPH_00312	78.625130	38.415016	41.645935
NGJCOJPH_00313	199.054474	97.254929	105.434608
NGJCOJPH_00314	269.574127	131.709732	142.787247
NGJCOJPH_00315	190.523956	93.087044	100.916183
NGJCOJPH_00316	751.988342	367.409821	398.311035
NGJCOJPH_00317	2024.556519	989.166870	1072.361328
NGJCOJPH_00318	556.770081	272.029205	294.908417
NGJCOJPH_00319	110.333336	53.907158	58.441048
NGJCOJPH_00320	185.592148	90.677444	98.303917
NGJCOJPH_00321	225.992630	110.416489	119.703125
NGJCOJPH_00322	88.631554	43.304001	46.946106
NGJCOJPH_00323	34.466473	16.839783	18.256102
NGJCOJPH_00324	81.872398	40.001583	43.365940
NGJCOJPH_00325	233.885437	114.272797	123.883774
NGJCOJPH_00326	672.107178	328.381134	355.999817
NGJCOJPH_00327	357.561432	174.698975	189.392120
NGJCOJPH_00328	181.207382	88.535118	95.981407
NGJCOJPH_00329	107.225342	52.388638	56.794815
NGJCOJPH_00330	582.873230	284.782837	308.734619
NGJCOJPH_00331	452.244659	220.959732	239.543671
NGJCOJPH_00332	145.787277	71.229401	77.220192
NGJCOJPH_00333	105.762627	51.673977	56.020046
NGJCOJPH_00334	227.305099	111.057739	120.398315
NGJCOJPH_00335	14247.403320	6961.060547	7546.523926
NGJCOJPH_00336	4505.479004	2201.307129	2386.449463
NGJCOJPH_00337	351.124542	171.554001	185.982651
NGJCOJPH_00338	139.075378	67.950066	73.665047
NGJCOJPH_00339	126.487213	61.799690	66.997391
NGJCOJPH_00340	83.289192	40.693810	44.116383
NGJCOJPH_00341	539.180786	263.435364	285.591736
NGJCOJPH_00342	508.015778	248.208618	269.084351
NGJCOJPH_00343	232.745056	113.715622	123.279739
NGJCOJPH_00344	176.458984	86.215126	93.466293
NGJCOJPH_00345	133.485153	65.218773	70.704033
NGJCOJPH_00346	264.679718	129.318405	140.194794
NGJCOJPH_00347	303.485443	148.278275	160.749298
NGJCOJPH_00348	77.912346	38.066761	41.268387
NGJCOJPH_00349	110.954987	54.210884	58.770321
NGJCOJPH_00350	102.379387	50.020981	54.228020
NGJCOJPH_00351	127.721291	62.402641	67.651047
NGJCOJPH_00352	577.488220	282.151794	305.882294
NGJCOJPH_00353	239.962982	117.242188	127.102905
NGJCOJPH_00354	111.479607	54.467205	59.048203
NGJCOJPH_00355	145.414429	71.047234	77.022705
NGJCOJPH_00356	76.065254	37.164303	40.290028
NGJCOJPH_00357	122.357529	59.781990	64.809990
NGJCOJPH_00358	631.173645	308.381653	334.318237
NGJCOJPH_00359	112.114082	54.777199	59.384266
NGJCOJPH_00360	26.437284	12.916846	14.003225
NGJCOJPH_00361	119.224518	58.251247	63.150505
NGJCOJPH_00362	1551.694092	758.133606	821.896912
NGJCOJPH_00363	44.544998	21.763996	23.594469
NGJCOJPH_00364	63.299805	30.927303	33.528461
NGJCOJPH_00365	60.394344	29.507740	31.989504
NGJCOJPH_00366	346.240173	169.167587	183.395493
NGJCOJPH_00367	86.677727	42.349392	45.911213
NGJCOJPH_00368	421.736206	206.053772	223.384018
NGJCOJPH_00369	108.318848	52.922909	57.374020
NGJCOJPH_00370	193.194824	94.391991	102.330887
NGJCOJPH_00371	114.085472	55.740391	60.428467
NGJCOJPH_00372	29.330906	14.330625	15.535911
NGJCOJPH_00373	81.735992	39.934937	43.293686
NGJCOJPH_00374	194.456909	95.008629	102.999382
NGJCOJPH_00375	185.970123	90.862122	98.504128
NGJCOJPH_00376	175.769806	85.878403	93.101250
NGJCOJPH_00377	131.445389	64.222176	69.623619
NGJCOJPH_00378	545.602356	266.572845	288.993103
NGJCOJPH_00379	4109.096191	2007.640625	2176.494385
NGJCOJPH_00380	117.843369	57.576443	62.418938
NGJCOJPH_00381	89.023506	43.495502	47.153717
NGJCOJPH_00382	157.594604	76.998276	83.474266
NGJCOJPH_00383	139.177109	67.999779	73.718933
NGJCOJPH_00384	77.267143	37.751526	40.926640
NGJCOJPH_00385	114.924240	56.150200	60.872742
NGJCOJPH_00386	6112.892090	2986.664062	3237.859131
NGJCOJPH_00387	719.012939	351.298584	380.844727
NGJCOJPH_00388	251.938019	123.093002	133.445816
NGJCOJPH_00389	104.430496	51.023117	55.314445
NGJCOJPH_00390	312.288055	152.579102	165.411850
NGJCOJPH_00391	152.314606	74.418556	80.677567
NGJCOJPH_00392	169.057281	82.598770	89.545776
NGJCOJPH_00393	188.155624	91.929916	99.661736
NGJCOJPH_00394	77.896255	38.058899	41.259865
NGJCOJPH_00395	584.881836	285.764191	309.798553
NGJCOJPH_00396	66.111107	32.300861	35.017544
NGJCOJPH_00397	133.790253	65.367844	70.865639
NGJCOJPH_00398	23.179739	11.325261	12.277778
NGJCOJPH_00399	71.760963	35.061291	38.010139
NGJCOJPH_00400	68.251045	33.346401	36.151020
NGJCOJPH_00401	145.803650	71.237404	77.228859
NGJCOJPH_00402	240.733780	117.618790	127.511177
NGJCOJPH_00403	330.797852	161.622696	175.216064
NGJCOJPH_00404	287.333405	140.386642	152.193939
NGJCOJPH_00405	560.173706	273.692169	296.711212
NGJCOJPH_00406	98.128517	47.944073	51.976433
NGJCOJPH_00407	128.621857	62.842644	68.128059
NGJCOJPH_00408	165.037689	80.634850	87.416695
NGJCOJPH_00409	1302.568970	636.415039	689.941040
NGJCOJPH_00410	104.654007	51.132320	55.432835
NGJCOJPH_00411	39.862156	19.476032	21.114073
NGJCOJPH_00412	41.486771	20.269793	21.974594
NGJCOJPH_00413	41.780560	20.413334	22.130207
NGJCOJPH_00414	107.383293	52.465809	56.878479
NGJCOJPH_00415	88.546288	43.262341	46.900944
NGJCOJPH_00416	15.523361	7.584473	8.222369
