transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
TRINITY_DN0_c0_g1_i34	TRINITY_DN0_c0_g1_i34	2762	2529.36	3350.00	541.78	372.62	100.00
TRINITY_DN0_c102_g1_i1	TRINITY_DN0_c102_g1_i1	408	175.70	16.00	37.25	25.62	100.00
TRINITY_DN0_c111_g1_i3	TRINITY_DN0_c111_g1_i3	1291	1058.36	111.00	42.90	29.51	100.00
TRINITY_DN0_c17_g1_i4	TRINITY_DN0_c17_g1_i4	1175	942.36	1081.00	469.24	322.73	100.00
TRINITY_DN0_c20_g1_i3	TRINITY_DN0_c20_g1_i3	1699	1466.36	221.00	61.65	42.40	100.00
TRINITY_DN0_c28_g1_i1	TRINITY_DN0_c28_g1_i1	1212	979.36	1586.00	662.44	455.60	100.00
TRINITY_DN0_c40_g1_i2	TRINITY_DN0_c40_g1_i2	2442	2209.36	588.00	108.87	74.88	100.00
TRINITY_DN0_c52_g1_i1	TRINITY_DN0_c52_g1_i1	2049	1816.36	359.00	80.85	55.61	100.00
TRINITY_DN0_c69_g1_i1	TRINITY_DN0_c69_g1_i1	824	591.36	149.00	103.07	70.89	100.00
TRINITY_DN0_c6_g1_i1	TRINITY_DN0_c6_g1_i1	3278	3045.36	2941.00	395.04	271.70	100.00
TRINITY_DN0_c8_g1_i11	TRINITY_DN0_c8_g1_i11	4519	4286.36	1837.00	175.31	120.57	100.00
TRINITY_DN0_c95_g1_i11	TRINITY_DN0_c95_g1_i11	672	439.37	20.00	18.62	12.81	100.00
TRINITY_DN0_c99_g1_i1	TRINITY_DN0_c99_g1_i1	3173	2940.36	465.00	64.69	44.49	100.00
TRINITY_DN0_c9_g1_i19	TRINITY_DN0_c9_g1_i19	2254	2021.36	934.00	189.01	130.00	100.00
TRINITY_DN100007_c0_g1_i1	TRINITY_DN100007_c0_g1_i1	407	174.70	5.00	11.71	8.05	100.00
TRINITY_DN10000_c1_g1_i1	TRINITY_DN10000_c1_g1_i1	1440	1207.36	110.00	37.27	25.63	100.00
TRINITY_DN100014_c0_g1_i1	TRINITY_DN100014_c0_g1_i1	304	73.68	4.00	22.21	15.27	100.00
TRINITY_DN10001_c2_g1_i1	TRINITY_DN10001_c2_g1_i1	431	198.63	0.00	0.00	0.00	0.00
TRINITY_DN100023_c0_g1_i1	TRINITY_DN100023_c0_g1_i1	562	329.43	5.00	6.21	4.27	100.00
TRINITY_DN10002_c0_g2_i2	TRINITY_DN10002_c0_g2_i2	984	751.36	36.00	19.60	13.48	100.00
TRINITY_DN10002_c0_g4_i1	TRINITY_DN10002_c0_g4_i1	388	155.79	6.00	15.75	10.83	100.00
TRINITY_DN100030_c0_g1_i1	TRINITY_DN100030_c0_g1_i1	481	248.52	5.00	8.23	5.66	100.00
TRINITY_DN100033_c0_g1_i1	TRINITY_DN100033_c0_g1_i1	409	176.70	4.00	9.26	6.37	100.00
TRINITY_DN100034_c0_g1_i1	TRINITY_DN100034_c0_g1_i1	345	113.23	3.00	10.84	7.45	100.00
TRINITY_DN100038_c0_g1_i1	TRINITY_DN100038_c0_g1_i1	1409	1176.36	11.00	3.83	2.63	100.00
TRINITY_DN10003_c0_g1_i3	TRINITY_DN10003_c0_g1_i3	2243	2010.36	171.00	34.79	23.93	100.00
TRINITY_DN100044_c0_g1_i1	TRINITY_DN100044_c0_g1_i1	468	235.55	6.00	10.42	7.17	100.00
TRINITY_DN100046_c0_g1_i1	TRINITY_DN100046_c0_g1_i1	689	456.37	15.00	13.45	9.25	100.00
TRINITY_DN100050_c0_g1_i1	TRINITY_DN100050_c0_g1_i1	440	207.60	10.00	19.70	13.55	100.00
TRINITY_DN100055_c0_g1_i1	TRINITY_DN100055_c0_g1_i1	602	369.40	31.00	34.33	23.61	100.00
TRINITY_DN100062_c0_g1_i1	TRINITY_DN100062_c0_g1_i1	353	121.11	3.00	10.13	6.97	100.00
TRINITY_DN100077_c0_g1_i1	TRINITY_DN100077_c0_g1_i1	385	152.81	5.00	13.38	9.21	100.00
TRINITY_DN100083_c0_g1_i1	TRINITY_DN100083_c0_g1_i1	389	156.79	6.00	15.65	10.77	100.00
TRINITY_DN100093_c0_g1_i1	TRINITY_DN100093_c0_g1_i1	380	147.84	3.00	8.30	5.71	100.00
TRINITY_DN1000_c0_g2_i1	TRINITY_DN1000_c0_g2_i1	1899	1666.36	244.00	59.90	41.20	100.00
TRINITY_DN1000_c2_g1_i1	TRINITY_DN1000_c2_g1_i1	1473	1240.36	55.00	18.14	12.48	100.00
TRINITY_DN100105_c0_g1_i1	TRINITY_DN100105_c0_g1_i1	498	265.50	10.00	15.41	10.60	100.00
TRINITY_DN10012_c0_g1_i6	TRINITY_DN10012_c0_g1_i6	2014	1781.36	28.00	6.43	4.42	100.00
TRINITY_DN100139_c0_g1_i1	TRINITY_DN100139_c0_g1_i1	791	558.36	13.00	9.52	6.55	100.00
TRINITY_DN100147_c0_g1_i1	TRINITY_DN100147_c0_g1_i1	349	117.17	4.00	13.96	9.60	100.00
TRINITY_DN100150_c0_g1_i1	TRINITY_DN100150_c0_g1_i1	876	643.36	17.00	10.81	7.43	100.00
TRINITY_DN100156_c0_g1_i1	TRINITY_DN100156_c0_g1_i1	512	279.48	7.00	10.25	7.05	100.00
TRINITY_DN10015_c0_g1_i14	TRINITY_DN10015_c0_g1_i14	569	336.43	2.00	2.43	1.67	100.00
TRINITY_DN100163_c0_g1_i1	TRINITY_DN100163_c0_g1_i1	531	298.46	10.00	13.71	9.43	100.00
TRINITY_DN100167_c0_g1_i1	TRINITY_DN100167_c0_g1_i1	569	336.43	13.00	15.81	10.87	100.00
TRINITY_DN100168_c0_g1_i1	TRINITY_DN100168_c0_g1_i1	578	345.42	6.00	7.11	4.89	100.00
TRINITY_DN100172_c0_g1_i1	TRINITY_DN100172_c0_g1_i1	663	430.38	9.00	8.55	5.88	100.00
TRINITY_DN100173_c0_g1_i1	TRINITY_DN100173_c0_g1_i1	925	692.36	11.00	6.50	4.47	100.00
TRINITY_DN100175_c0_g1_i1	TRINITY_DN100175_c0_g1_i1	939	706.36	13.00	7.53	5.18	100.00
TRINITY_DN100179_c0_g1_i1	TRINITY_DN100179_c0_g1_i1	1438	1205.36	23.00	7.81	5.37	100.00
TRINITY_DN10017_c0_g1_i4	TRINITY_DN10017_c0_g1_i4	508	275.49	1.00	1.48	1.02	100.00
TRINITY_DN10018_c0_g1_i3	TRINITY_DN10018_c0_g1_i3	409	176.70	0.00	0.00	0.00	0.00
TRINITY_DN10019_c0_g1_i1	TRINITY_DN10019_c0_g1_i1	2418	2185.36	71.00	13.29	9.14	100.00
TRINITY_DN100200_c0_g1_i3	TRINITY_DN100200_c0_g1_i3	1150	917.36	19.00	8.47	5.83	100.00
TRINITY_DN100206_c0_g1_i1	TRINITY_DN100206_c0_g1_i1	717	484.37	8.00	6.76	4.65	100.00
TRINITY_DN100209_c0_g1_i1	TRINITY_DN100209_c0_g1_i1	1373	1140.36	20.00	7.17	4.93	100.00
TRINITY_DN100212_c0_g1_i1	TRINITY_DN100212_c0_g1_i1	1620	1387.36	77.00	22.70	15.61	100.00
TRINITY_DN100222_c0_g1_i1	TRINITY_DN100222_c0_g1_i1	952	719.36	17.00	9.67	6.65	100.00
TRINITY_DN10022_c1_g1_i1	TRINITY_DN10022_c1_g1_i1	450	217.58	5.00	9.40	6.47	100.00
TRINITY_DN100235_c0_g1_i2	TRINITY_DN100235_c0_g1_i2	343	111.27	2.00	7.35	5.06	100.00
TRINITY_DN10025_c3_g1_i2	TRINITY_DN10025_c3_g1_i2	1516	1283.36	40.00	12.75	8.77	100.00
TRINITY_DN100269_c0_g1_i1	TRINITY_DN100269_c0_g1_i1	664	431.38	11.00	10.43	7.17	100.00
TRINITY_DN100273_c0_g1_i1	TRINITY_DN100273_c0_g1_i1	446	213.59	11.00	21.07	14.49	100.00
TRINITY_DN10027_c0_g2_i2	TRINITY_DN10027_c0_g2_i2	465	232.55	10.00	17.59	12.10	100.00
TRINITY_DN100284_c0_g1_i1	TRINITY_DN100284_c0_g1_i1	530	297.46	7.00	9.63	6.62	100.00
TRINITY_DN100287_c0_g1_i1	TRINITY_DN100287_c0_g1_i1	876	643.36	9.00	5.72	3.94	100.00
TRINITY_DN100289_c0_g1_i1	TRINITY_DN100289_c0_g1_i1	644	411.38	7.00	6.96	4.79	100.00
TRINITY_DN100302_c0_g1_i1	TRINITY_DN100302_c0_g1_i1	815	582.36	17.00	11.94	8.21	100.00
TRINITY_DN10030_c0_g1_i17	TRINITY_DN10030_c0_g1_i17	1137	904.36	32.00	14.47	9.95	100.00
TRINITY_DN100311_c0_g1_i1	TRINITY_DN100311_c0_g1_i1	563	330.43	7.00	8.67	5.96	100.00
TRINITY_DN100320_c0_g1_i1	TRINITY_DN100320_c0_g1_i1	1411	1178.36	45.00	15.62	10.74	100.00
TRINITY_DN100322_c0_g1_i1	TRINITY_DN100322_c0_g1_i1	551	318.44	6.00	7.71	5.30	100.00
TRINITY_DN100327_c0_g1_i1	TRINITY_DN100327_c0_g1_i1	598	365.41	8.00	8.96	6.16	100.00
TRINITY_DN100332_c0_g1_i1	TRINITY_DN100332_c0_g1_i1	356	124.07	4.00	13.19	9.07	100.00
TRINITY_DN100342_c0_g1_i1	TRINITY_DN100342_c0_g1_i1	535	302.46	5.00	6.76	4.65	100.00
TRINITY_DN100346_c0_g1_i1	TRINITY_DN100346_c0_g1_i1	377	144.87	10.00	28.24	19.42	100.00
TRINITY_DN100349_c0_g1_i1	TRINITY_DN100349_c0_g1_i1	537	304.45	16.00	21.50	14.79	100.00
TRINITY_DN10034_c0_g1_i3	TRINITY_DN10034_c0_g1_i3	599	366.41	25.00	27.91	19.20	100.00
TRINITY_DN100361_c0_g1_i1	TRINITY_DN100361_c0_g1_i1	617	384.40	6.00	6.39	4.39	100.00
