Gene_id	K
TRINITY_DN0_c20_g1_i3.p1	K11353
TRINITY_DN0_c28_g1_i1.p1	K02155
TRINITY_DN0_c52_g1_i1.p1	K07509
TRINITY_DN0_c99_g1_i1.p1	K24682
TRINITY_DN10002_c0_g2_i2.p1	K15695
TRINITY_DN100055_c0_g1_i1.p2	K03127
TRINITY_DN100062_c0_g1_i1.p1	K14168
TRINITY_DN1000_c0_g2_i1.p1	K16794
TRINITY_DN100139_c0_g1_i1.p1	K01196
TRINITY_DN100150_c0_g1_i1.p1	K25805
TRINITY_DN100168_c0_g1_i1.p1	K18156
TRINITY_DN100173_c0_g1_i1.p1	K01785
TRINITY_DN100175_c0_g1_i1.p1	K12035
TRINITY_DN100179_c0_g1_i1.p1	K06642
TRINITY_DN100206_c0_g1_i1.p1	K09228
TRINITY_DN100212_c0_g1_i1.p1	K04510
TRINITY_DN10025_c3_g1_i2.p1	K14777
TRINITY_DN100284_c0_g1_i1.p1	K06225
TRINITY_DN100302_c0_g1_i1.p1	K15779
TRINITY_DN100311_c0_g1_i1.p1	K26161
TRINITY_DN100384_c0_g1_i1.p1	K06101
TRINITY_DN1003_c0_g1_i2.p1	K12471
TRINITY_DN100408_c0_g1_i1.p1	K20403
TRINITY_DN10041_c0_g1_i1.p1	K12854
TRINITY_DN100464_c0_g1_i1.p1	K12026
TRINITY_DN100479_c0_g1_i1.p1	K01886
TRINITY_DN100511_c0_g1_i1.p1	K06839
TRINITY_DN10051_c2_g1_i1.p1	K17506
TRINITY_DN10054_c1_g1_i1.p1	K15279
TRINITY_DN100569_c0_g1_i1.p1	K24419
TRINITY_DN100570_c0_g1_i1.p1	K14735
TRINITY_DN100600_c0_g1_i1.p1	K24123
TRINITY_DN100636_c0_g1_i1.p1	K25070
TRINITY_DN100649_c0_g1_i1.p1	K23295
TRINITY_DN100651_c0_g1_i1.p1	K06694
TRINITY_DN10065_c3_g1_i7.p1	K06091
TRINITY_DN10065_c3_g2_i1.p1	K02259
TRINITY_DN1006_c1_g1_i15.p1	K03331
TRINITY_DN100704_c0_g1_i1.p2	K15980
TRINITY_DN10075_c0_g1_i1.p1	K02899
TRINITY_DN100782_c0_g1_i1.p1	K18631
TRINITY_DN10078_c1_g1_i8.p1	K23966
TRINITY_DN10078_c1_g2_i3.p1	K23966
TRINITY_DN100793_c0_g1_i1.p2	K10685
TRINITY_DN100826_c0_g1_i1.p1	K07514
TRINITY_DN10082_c9_g1_i1.p1	K02882
TRINITY_DN100951_c0_g1_i3.p1	K11654
TRINITY_DN100953_c0_g1_i1.p1	K13859
TRINITY_DN1009_c0_g1_i1.p1	K18617
TRINITY_DN10105_c5_g2_i1.p1	K04559
TRINITY_DN10107_c0_g1_i4.p1	K14973
TRINITY_DN1010_c1_g1_i5.p1	K10358
TRINITY_DN101152_c0_g1_i1.p1	K05678
TRINITY_DN101172_c0_g1_i1.p1	K01082
TRINITY_DN10117_c0_g1_i4.p1	K13190
TRINITY_DN10118_c0_g1_i2.p1	K24763
TRINITY_DN10121_c0_g1_i6.p1	K23901
TRINITY_DN101242_c0_g1_i1.p1	K01373
TRINITY_DN101244_c0_g1_i1.p1	K03002
TRINITY_DN101251_c0_g1_i1.p1	K00787
TRINITY_DN101267_c0_g1_i1.p1	K01365
TRINITY_DN101304_c0_g1_i1.p1	K03650
TRINITY_DN101314_c0_g1_i1.p1	K04157
TRINITY_DN101315_c0_g1_i1.p1	K19329
TRINITY_DN101325_c0_g1_i1.p1	K11324
TRINITY_DN101366_c0_g1_i1.p1	K11485
TRINITY_DN101374_c0_g1_i1.p1	K20029
TRINITY_DN101428_c0_g1_i1.p1	K10356
TRINITY_DN101438_c0_g1_i1.p1	K15980
TRINITY_DN101463_c0_g1_i1.p1	K19612
TRINITY_DN101490_c0_g1_i1.p1	K01807
TRINITY_DN101500_c0_g1_i1.p1	K14018
TRINITY_DN101537_c0_g1_i1.p1	K05312
TRINITY_DN101671_c0_g1_i1.p1	K00851
TRINITY_DN1016_c4_g1_i1.p1	K14944
TRINITY_DN101709_c0_g1_i1.p1	K06974
TRINITY_DN101793_c0_g1_i1.p1	K19368
TRINITY_DN101800_c0_g1_i1.p1	K22987
TRINITY_DN101804_c0_g1_i2.p1	K02519
TRINITY_DN101842_c0_g1_i1.p1	K14791
TRINITY_DN10187_c0_g1_i9.p1	K23958
TRINITY_DN10187_c0_g2_i7.p1	K09647
TRINITY_DN101885_c0_g1_i1.p1	K00844
TRINITY_DN101936_c0_g1_i1.p1	K04556
TRINITY_DN101965_c0_g1_i1.p1	K10766
TRINITY_DN1019_c0_g2_i7.p1	K10373
TRINITY_DN102022_c0_g1_i1.p1	K22449
TRINITY_DN102035_c0_g1_i1.p1	K15338
TRINITY_DN10214_c1_g1_i1.p1	K01201
TRINITY_DN102153_c0_g1_i2.p1	K00286
TRINITY_DN10218_c2_g1_i2.p1	K21249
TRINITY_DN10218_c4_g2_i1.p1	K19176
TRINITY_DN102191_c0_g1_i1.p1	K15192
TRINITY_DN102234_c0_g1_i1.p1	K16532
TRINITY_DN1022_c0_g2_i2.p1	K00797
TRINITY_DN1022_c2_g1_i1.p1	K26236
TRINITY_DN102310_c0_g1_i1.p1	K26201
TRINITY_DN10232_c1_g1_i2.p1	K08501
TRINITY_DN102332_c0_g1_i1.p1	K03539
TRINITY_DN102345_c0_g1_i1.p1	K07999
TRINITY_DN102442_c0_g1_i1.p1	K14568
TRINITY_DN102456_c0_g1_i1.p1	K00029
TRINITY_DN10253_c0_g2_i3.p1	K11987
TRINITY_DN102580_c0_g1_i1.p1	K08516
TRINITY_DN102593_c0_g1_i1.p1	K14947
TRINITY_DN10263_c0_g1_i1.p1	K01581
TRINITY_DN10266_c4_g1_i1.p1	K00717
TRINITY_DN102708_c0_g1_i1.p1	K01769
TRINITY_DN103024_c0_g1_i1.p1	K08150
TRINITY_DN103110_c0_g1_i1.p1	K09866
TRINITY_DN103165_c0_g1_i1.p1	K24509
TRINITY_DN103166_c0_g1_i1.p1	K11307
TRINITY_DN103181_c0_g1_i1.p1	K00472
TRINITY_DN103239_c0_g1_i1.p1	K23791
TRINITY_DN10325_c0_g1_i1.p1	K08765
TRINITY_DN103297_c0_g1_i1.p2	K10206
TRINITY_DN10329_c0_g1_i5.p1	K16750
TRINITY_DN103336_c0_g1_i1.p1	K02349
TRINITY_DN10335_c0_g1_i1.p1	K14789
TRINITY_DN103399_c0_g1_i1.p1	K05849
TRINITY_DN103415_c0_g1_i1.p1	K11435
TRINITY_DN10343_c0_g1_i6.p1	K03260
TRINITY_DN10352_c0_g2_i3.p1	K22139
TRINITY_DN103541_c0_g1_i1.p2	K03695
TRINITY_DN103560_c0_g1_i1.p1	K03341
TRINITY_DN103582_c0_g1_i1.p1	K08544
TRINITY_DN10359_c3_g1_i2.p1	K09486
TRINITY_DN10362_c0_g1_i13.p1	K00643
TRINITY_DN10364_c0_g2_i2.p1	K05349
TRINITY_DN10366_c0_g2_i2.p1	K05330
TRINITY_DN103703_c0_g1_i1.p1	K14544
TRINITY_DN103706_c0_g1_i1.p1	K13217
TRINITY_DN10376_c0_g1_i4.p1	K25356
TRINITY_DN10378_c0_g2_i1.p1	K16536
TRINITY_DN103799_c0_g1_i1.p1	K17424
TRINITY_DN10379_c0_g1_i3.p1	K00323
TRINITY_DN1037_c2_g3_i1.p1	K07891
TRINITY_DN1037_c2_g5_i2.p1	K01697
TRINITY_DN1037_c8_g1_i1.p1	K10687
TRINITY_DN10385_c0_g3_i2.p1	K00106
TRINITY_DN103879_c0_g1_i1.p1	K02878
TRINITY_DN103964_c0_g1_i1.p1	K08734
TRINITY_DN10399_c0_g1_i1.p1	K19933
TRINITY_DN103_c71_g1_i1.p1	K07205
TRINITY_DN10403_c0_g1_i6.p1	K14284
TRINITY_DN10404_c2_g1_i5.p1	K14634
TRINITY_DN104079_c0_g1_i1.p1	K24926
TRINITY_DN10408_c0_g1_i4.p1	K12494
TRINITY_DN104186_c0_g1_i1.p1	K00814
TRINITY_DN104210_c0_g1_i1.p1	K25549
TRINITY_DN10423_c0_g1_i15.p1	K00234
TRINITY_DN104288_c0_g1_i1.p1	K24932
TRINITY_DN10431_c1_g1_i2.p1	K12472
TRINITY_DN10439_c0_g1_i5.p1	K00413
TRINITY_DN10444_c1_g1_i11.p1	K11089
TRINITY_DN104456_c0_g1_i1.p1	K11125
TRINITY_DN104461_c0_g1_i1.p1	K05203
TRINITY_DN104489_c0_g1_i1.p2	K21776
TRINITY_DN10448_c2_g1_i1.p1	K03691
TRINITY_DN104504_c0_g1_i1.p1	K14391
TRINITY_DN104519_c0_g1_i1.p1	K13719
TRINITY_DN10451_c0_g1_i3.p1	K16669
TRINITY_DN104569_c0_g1_i1.p1	K10447
TRINITY_DN10458_c0_g1_i3.p1	K04676
TRINITY_DN1045_c0_g1_i1.p1	K06051
TRINITY_DN10462_c0_g2_i7.p1	K02186
TRINITY_DN104649_c0_g1_i1.p1	K10345
TRINITY_DN104651_c0_g1_i1.p1	K18932
TRINITY_DN104652_c0_g1_i1.p1	K23234
TRINITY_DN10473_c0_g1_i4.p1	K15289
TRINITY_DN10474_c0_g1_i1.p1	K11805
TRINITY_DN1047_c1_g1_i1.p1	K01490
TRINITY_DN10485_c0_g1_i3.p1	K14381
TRINITY_DN1048_c0_g1_i8.p1	K09459
TRINITY_DN10492_c0_g1_i3.p1	K00249
TRINITY_DN10496_c1_g2_i1.p1	K25547
TRINITY_DN1049_c17_g1_i1.p1	K14815
TRINITY_DN10504_c0_g1_i5.p1	K17410
TRINITY_DN10504_c1_g1_i1.p1	K23362
TRINITY_DN10505_c1_g1_i1.p1	K17461
TRINITY_DN10506_c0_g3_i3.p1	K05860
TRINITY_DN1050_c12_g1_i1.p1	K02890
TRINITY_DN1050_c6_g1_i2.p1	K17610
TRINITY_DN105134_c0_g1_i1.p1	K12599
TRINITY_DN10519_c0_g2_i2.p1	K24420
TRINITY_DN105203_c0_g1_i1.p1	K14831
TRINITY_DN10526_c1_g1_i1.p1	K00111
TRINITY_DN105305_c0_g1_i1.p1	K10391
TRINITY_DN105313_c0_g1_i1.p1	K22864
TRINITY_DN105350_c0_g1_i1.p1	K01081
TRINITY_DN10535_c0_g1_i1.p1	K23978
TRINITY_DN10544_c0_g1_i14.p1	K03961
TRINITY_DN1054_c0_g1_i1.p1	K08568
TRINITY_DN105512_c0_g1_i1.p1	K03355
TRINITY_DN105525_c0_g1_i1.p1	K16796
TRINITY_DN105646_c0_g1_i1.p1	K00139
TRINITY_DN105647_c0_g1_i1.p1	K01077
TRINITY_DN1057_c1_g1_i2.p1	K09563
TRINITY_DN1057_c6_g1_i1.p1	K02868
TRINITY_DN10584_c0_g1_i1.p1	K13116
TRINITY_DN10597_c0_g1_i2.p1	K14297
TRINITY_DN105999_c0_g1_i1.p1	K10755
TRINITY_DN10605_c0_g4_i1.p1	K10669
TRINITY_DN10605_c1_g1_i2.p1	K01025
TRINITY_DN106061_c0_g1_i1.p1	K05313
TRINITY_DN10610_c0_g2_i2.p1	K02222
TRINITY_DN10612_c0_g2_i7.p1	K20166
TRINITY_DN10622_c0_g1_i1.p1	K09550
TRINITY_DN10646_c0_g1_i1.p1	K22989
TRINITY_DN106540_c0_g1_i1.p1	K04887
TRINITY_DN106553_c0_g1_i1.p1	K13115
TRINITY_DN10655_c1_g1_i4.p1	K12391
TRINITY_DN10668_c1_g1_i1.p1	K23341
TRINITY_DN1067_c0_g1_i1.p1	K03626
TRINITY_DN10683_c0_g1_i5.p1	K11839
TRINITY_DN1068_c2_g1_i1.p1	K01802
TRINITY_DN1069_c0_g1_i2.p1	K05757
TRINITY_DN107094_c0_g1_i1.p1	K25174
TRINITY_DN107104_c0_g1_i1.p1	K15261
TRINITY_DN10722_c4_g1_i1.p1	K20407
TRINITY_DN10727_c0_g1_i4.p1	K04683
TRINITY_DN107306_c0_g1_i1.p1	K11374
TRINITY_DN107329_c0_g1_i1.p1	K05655
TRINITY_DN1073_c0_g2_i1.p1	K12197
TRINITY_DN10742_c0_g1_i2.p1	K03251
TRINITY_DN107537_c0_g1_i1.p1	K24869
TRINITY_DN10753_c0_g1_i2.p2	K01255
TRINITY_DN10754_c0_g1_i3.p1	K22763
TRINITY_DN10758_c0_g1_i2.p1	K23899
TRINITY_DN107836_c0_g1_i1.p1	K11188
TRINITY_DN10784_c1_g2_i2.p1	K12461
TRINITY_DN107854_c0_g1_i1.p1	K03691
TRINITY_DN10786_c5_g1_i1.p1	K02180
TRINITY_DN107881_c0_g1_i1.p1	K23555
TRINITY_DN10796_c0_g1_i2.p1	K02926
TRINITY_DN10798_c0_g1_i4.p1	K02156
TRINITY_DN1079_c2_g1_i1.p1	K03955
TRINITY_DN10809_c0_g1_i8.p1	K06249
TRINITY_DN108136_c0_g1_i1.p1	K07305
TRINITY_DN108137_c0_g1_i1.p1	K00012
TRINITY_DN10813_c1_g2_i1.p1	K25743
TRINITY_DN108183_c0_g1_i1.p1	K02434
TRINITY_DN108304_c0_g1_i1.p1	K01639
TRINITY_DN10830_c0_g3_i1.p1	K01267
TRINITY_DN10839_c0_g1_i1.p1	K24741
TRINITY_DN108467_c0_g1_i1.p1	K05656
TRINITY_DN108494_c0_g1_i1.p1	K03355
TRINITY_DN10853_c1_g1_i1.p1	K24637
TRINITY_DN108601_c0_g1_i1.p2	K03263
