Gene_id	Description	Length	e-Value	GO
NGJCOJPH_00393	tRNA 5-hydroxyuridine modification protein YegQ	450	0.0	P:GO:0071704 P:organic substance metabolic process
NGJCOJPH_00085	Cell division protein BolA	104	2.14121E-63	P:GO:0051301 P:cell division
NGJCOJPH_00473	DnaA regulatory inactivator Hda	224	4.53662E-135	P:GO:0032297 P:negative regulation of DNA-dependent DNA replication initiation
NGJCOJPH_01342	SCP2 sterol-binding domain-containing protein	179	2.06069E-108	P:GO:0032150 P:ubiquinone biosynthetic process from chorismate
NGJCOJPH_00318	iron-sulfur cluster assembly protein IscA	107	1.83706E-66	P:GO:0016226 P:iron-sulfur cluster assembly; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051537 F:2 iron, 2 sulfur cluster binding
NGJCOJPH_00427	Fe-S cluster assembly protein IscX	64	1.49597E-32	P:GO:0016226 P:iron-sulfur cluster assembly
NGJCOJPH_01207	outer-membrane lipoprotein carrier protein LolA	193	1.28088E-117	P:GO:0015031 P:protein transport
NGJCOJPH_01490	CvpA family protein	282	2.15566E-176	P:GO:0009403 P:toxin biosynthetic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane
NGJCOJPH_01372	DNA-protecting protein DprA	362	0.0	P:GO:0009294 P:DNA mediated transformation
NGJCOJPH_00806	L,D-transpeptidase	153	2.89538E-103	P:GO:0009252 P:peptidoglycan biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0071972 F:peptidoglycan L,D-transpeptidase activity
NGJCOJPH_01366	3-deoxy-manno-octulosonate-8-phosphatase KdsC	177	2.95543E-112	P:GO:0009103 P:lipopolysaccharide biosynthetic process; F:GO:0016787 F:hydrolase activity; F:GO:0016788 F:hydrolase activity, acting on ester bonds; F:GO:0019143 F:3-deoxy-manno-octulosonate-8-phosphatase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00687	nucleotidyltransferase family protein	224	2.76658E-139	P:GO:0009058 P:biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016779 F:nucleotidyltransferase activity
NGJCOJPH_01242	methionyl-tRNA formyltransferase	199	1.17373E-69	P:GO:0009058 P:biosynthetic process; F:GO:0016740 F:transferase activity
NGJCOJPH_00832	6-carboxytetrahydropterin synthase QueD	125	3.94696E-81	P:GO:0008616 P:queuosine biosynthetic process; F:GO:0016829 F:lyase activity; F:GO:0046872 F:metal ion binding; F:GO:0070497 F:6-carboxy-5,6,7,8-tetrahydropterin synthase activity
NGJCOJPH_00045	rod shape-determining protein MreC	264	1.53956E-169	P:GO:0008360 P:regulation of cell shape; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane
NGJCOJPH_01460	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	308	0.0	P:GO:0008299 P:isoprenoid biosynthetic process; P:GO:0016114 P:terpenoid biosynthetic process; F:GO:0016491 F:oxidoreductase activity; P:GO:0019288 P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; F:GO:0046872 F:metal ion binding; P:GO:0050992 P:dimethylallyl diphosphate biosynthetic process; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051539 F:4 iron, 4 sulfur cluster binding; F:GO:0051745 F:4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
NGJCOJPH_01182	1-deoxy-D-xylulose-5-phosphate reductoisomerase	383	0.0	P:GO:0008299 P:isoprenoid biosynthetic process; P:GO:0016114 P:terpenoid biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0016853 F:isomerase activity; P:GO:0019288 P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; F:GO:0030604 F:1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; F:GO:0046872 F:metal ion binding; F:GO:0070402 F:NADPH binding
NGJCOJPH_00092	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	156	1.69905E-98	P:GO:0008299 P:isoprenoid biosynthetic process; F:GO:0008685 F:2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity; P:GO:0016114 P:terpenoid biosynthetic process; F:GO:0016829 F:lyase activity; P:GO:0019288 P:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; F:GO:0046872 F:metal ion binding
NGJCOJPH_00705	epoxyqueuosine reductase QueH	227	8.54684E-151	P:GO:0008033 P:tRNA processing; P:GO:0008616 P:queuosine biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0046872 F:metal ion binding; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051539 F:4 iron, 4 sulfur cluster binding; F:GO:0052693 F:epoxyqueuosine reductase activity
NGJCOJPH_00483	zinc ABC transporter substrate-binding protein	296	2.54342E-174	P:GO:0007155 P:cell adhesion; P:GO:0030001 P:metal ion transport; F:GO:0046872 F:metal ion binding
NGJCOJPH_00428	Tol-Pal system beta propeller repeat protein TolB	425	0.0	P:GO:0007049 P:cell cycle; P:GO:0015031 P:protein transport; P:GO:0017038 P:protein import; C:GO:0042597 C:periplasmic space; P:GO:0051301 P:cell division
NGJCOJPH_01094	peptide-methionine (R)-S-oxide reductase MsrB	122	1.73242E-70	P:GO:0006979 P:response to oxidative stress; F:GO:0008270 F:zinc ion binding; F:GO:0016491 F:oxidoreductase activity; F:GO:0016671 F:oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; P:GO:0030091 P:protein repair; F:GO:0033743 F:peptide-methionine (R)-S-oxide reductase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_01507	Transporter, sodium/sulfate symporter family	647	0.0	P:GO:0006813 P:potassium ion transport; F:GO:0008324 F:cation transmembrane transporter activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; P:GO:0055085 P:transmembrane transport; P:GO:0098655 P:cation transmembrane transport
NGJCOJPH_00150	cation transporter	384	0.0	P:GO:0006812 P:cation transport; F:GO:0008324 F:cation transmembrane transporter activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; P:GO:0055085 P:transmembrane transport; P:GO:0098655 P:cation transmembrane transport
NGJCOJPH_00777	Na+/H+ antiporter NhaD type	457	0.0	P:GO:0006811 P:ion transport; P:GO:0006814 P:sodium ion transport; F:GO:0015297 F:antiporter activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; P:GO:0055085 P:transmembrane transport
NGJCOJPH_00897	TonB-dependent receptor	598	0.0	P:GO:0006811 P:ion transport; C:GO:0009279 C:cell outer membrane; C:GO:0016020 C:membrane; P:GO:0071702 P:organic substance transport
NGJCOJPH_00456	P-II family nitrogen regulator	115	1.59755E-67	P:GO:0006808 P:regulation of nitrogen utilization; F:GO:0030234 F:enzyme regulator activity; P:GO:0050790 P:regulation of catalytic activity
NGJCOJPH_00461	P-II family nitrogen regulator	112	2.21443E-72	P:GO:0006808 P:regulation of nitrogen utilization; F:GO:0030234 F:enzyme regulator activity; P:GO:0050790 P:regulation of catalytic activity
NGJCOJPH_00535	P-II family nitrogen regulator	116	3.87175E-72	P:GO:0006808 P:regulation of nitrogen utilization; F:GO:0030234 F:enzyme regulator activity; P:GO:0050790 P:regulation of catalytic activity
NGJCOJPH_00394	16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)	195	3.37109E-133	P:GO:0006807 P:nitrogen compound metabolic process; F:GO:0008168 F:methyltransferase activity; F:GO:0016740 F:transferase activity; P:GO:0031167 P:rRNA methylation; P:GO:0032259 P:methylation; F:GO:0052913 F:16S rRNA (guanine(966)-N(2))-methyltransferase activity; P:GO:0071704 P:organic substance metabolic process
NGJCOJPH_01039	Polyphosphate kinase 2	323	0.0	P:GO:0006793 P:phosphorus metabolic process; F:GO:0008976 F:polyphosphate kinase activity; F:GO:0016301 F:kinase activity; P:GO:0016310 P:phosphorylation; F:GO:0016740 F:transferase activity
NGJCOJPH_00998	dissimilatory-type sulfite reductase subunit beta	357	0.0	P:GO:0006790 P:sulfur compound metabolic process; F:GO:0009055 F:electron transfer activity; F:GO:0016491 F:oxidoreductase activity; F:GO:0018551 F:hydrogensulfite reductase activity; F:GO:0020037 F:heme binding; P:GO:0022900 P:electron transport chain; F:GO:0046872 F:metal ion binding; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051539 F:4 iron, 4 sulfur cluster binding
NGJCOJPH_00133	glutamyl-tRNA reductase	416	0.0	P:GO:0006779 P:porphyrin-containing compound biosynthetic process; P:GO:0006782 P:protoporphyrinogen IX biosynthetic process; F:GO:0008883 F:glutamyl-tRNA reductase activity; F:GO:0016491 F:oxidoreductase activity; P:GO:0033014 P:tetrapyrrole biosynthetic process; F:GO:0050661 F:NADP binding
NGJCOJPH_00186	cyclic pyranopterin monophosphate synthase MoaC	179	2.89297E-118	P:GO:0006777 P:Mo-molybdopterin cofactor biosynthetic process; F:GO:0016829 F:lyase activity; F:GO:0061799 F:cyclic pyranopterin monophosphate synthase activity
NGJCOJPH_00187	Molybdopterin molybdenumtransferase (EC 2.10.1.1)	421	0.0	P:GO:0006777 P:Mo-molybdopterin cofactor biosynthetic process; F:GO:0016740 F:transferase activity; P:GO:0032324 P:molybdopterin cofactor biosynthetic process; F:GO:0046872 F:metal ion binding; F:GO:0061599 F:molybdopterin molybdotransferase activity
